Timestamp,David's guess,Assane's guess,Actual temp,People,Windows (open),Heat/AC,Cooking,Shower,Electronics (tv),Lights,Notes
2020-12-02T13:05:05.951Z,60,60,72.14,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,wakeup
2020-12-02T13:44:42.179Z,73,76,72.5,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,breakfast
2020-12-02T15:10:42.770Z,75,73,73.4,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,shower
2020-12-02T15:32:42.923Z,73,74,73.4,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,tea
2020-12-02T16:16:43.217Z,71,72,71.78,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,hw time
2020-12-02T18:16:43.815Z,72.5,72,71.95,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,lunch
2020-12-02T19:20:44.257Z,70,71,72.68,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,random guess
2020-12-02T21:33:51.090Z,72.5,72,73.4,2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,eating + tv
2020-12-02T22:56:51.804Z,71.5,72.5,74.66,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,chill/loung
2020-12-02T23:56:52.131Z,76,75,75.38,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,exercise + video games
2020-12-03T13:05:53.414Z,72.5,73,73.58,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,wakeup
2020-12-03T16:46:01.995Z,73,72,75.02,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"class, midday"
2020-12-03T17:58:02.580Z,76,75,75.02,2,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,shower
2020-12-03T18:42:02.799Z,74.5,75,74.66,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,outside buying lunch
2020-12-04T02:18:59.214Z,76.5,75,76.27,2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,cooked dinner + tv
2020-12-04T14:00:20.865Z,72.5,72,73.94,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,wakeup
2020-12-04T14:13:21.055Z,74,74.5,74.12,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,shower
2020-12-04T15:02:21.848Z,74,75,74.66,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,breakfast
2020-12-04T20:17:43.855Z,74.4,74.2,77.18,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,hw + work 
2020-12-05T03:59:39.487Z,76,73.5,78.08,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,bedtime
2020-12-05T13:18:45.339Z,73,72,72.68,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wakeup
2020-12-05T18:08:48.594Z,74,73.5,75.56,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,lunchtime
2020-12-05T22:33:09.827Z,74,75,75.92,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,shower + chill
